_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
672a18bacb87917df2d6e846,,60.75,84.76,83.13,67.85,76;8;2;3,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1730812090000
672a1899cb87917df2d6e679,,66.38,91,79.17,73.92,83;3;1;3,time,15,-1,3,15.01,0,4.14,false,false,english,none,normal,false,false,false,6728cea16aeef0b7185fed77,1730812057000
6728cbe06aeef0b7185fc251,,78.38,92.37,94.38,82.72,98;5;1;0,time,15,-1,1,15,0,12.65,false,false,english,none,normal,false,false,false,,1730726880000
6728caf76aeef0b7185fb450,,77.56,95.45,87.15,73.81,97;2;0;1,time,15,-1,5,15.01,0,19.16,false,false,english,none,normal,false,false,false,,1730726647000
6728cab26aeef0b7185fb054,,84.79,95.8,95.19,82.49,106;2;1;0,time,15,-1,2,15,0,1.01,false,false,english,none,normal,false,false,false,,1730726578000
6728ca586aeef0b7185faafb,,59.18,90.11,70.37,70.85,74;3;1;1,time,15,-1,3,15.01,0,10.62,false,false,english,none,normal,false,false,false,,1730726488000
6728ca396aeef0b7185fa901,,81.59,97.2,84.79,68.09,102;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1730726457000
6728ca1d6aeef0b7185fa777,true,91.95,100,91.95,79.98,115;0;0;0,time,15,-1,2,15.01,0,1.38,false,false,english,none,normal,false,false,false,,1730726429000
6728c9f26aeef0b7185fa4e3,,89.51,100,89.51,71.54,112;0;0;0,time,15,-1,1,15.01,0,2.3,false,false,english,none,normal,false,false,false,,1730726386000
6728c9dd6aeef0b7185fa3c0,,82.4,99.04,82.4,59.75,103;0;0;0,time,15,-1,2,15,0,3.27,false,false,english,none,normal,false,false,false,,1730726365000
6728c9c26aeef0b7185fa251,,75.17,94.06,79.97,68.63,94;4;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1730726338000
6728c9b06aeef0b7185fa13b,,80.79,93.86,91.19,80.9,101;3;3;0,time,15,-1,1,15,0,0.62,false,false,english,none,normal,false,false,false,,1730726320000
6728c9646aeef0b7185f9cc5,,67.16,91.75,75.16,59.36,84;3;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1730726244000
6728c9526aeef0b7185f9bde,,78.39,96.23,84.79,71.48,98;2;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1730726226000
6728b2226aeef0b7185e75f4,,83.99,100,83.99,82.7,105;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1730720290000
